"pID","Well","Name","Plate 1",,"treat"
3,"B3","hsa-miR-1299",1.035687598,"c1","c"
3,"C3","hsa-miR-1301",0.931690954,"c1","c"
3,"D3","hsa-miR-1302",0.818246654,"c1","c"
3,"H3","hsa-miR-1302",0.870262754,"c1","c"
3,"G3","hsa-miR-1302",0.895611238,"c1","c"
3,"C4","hsa-miR-1302",0.8890513,"c1","c"
3,"E3","hsa-miR-1302",0.98399229,"c1","c"
3,"B4","hsa-miR-1302",0.875824425,"c1","c"
3,"F3","hsa-miR-1302",1.020357191,"c1","c"
3,"A4","hsa-miR-1302",1.025954525,"c1","c"
3,"D4","hsa-miR-1303",0.665977416,"c1","c"
3,"E4","hsa-miR-1304",0.72451779,"c1","c"
3,"F4","hsa-miR-1305",0.781881695,"c1","c"
3,"G4","hsa-miR-1306",0.732575112,"c1","c"
3,"H4","hsa-miR-1307",0.778102592,"c1","c"
3,"B5","hsa-miR-130a",0.996684342,"c1","c"
3,"A5","hsa-miR-130a*",0.918713659,"c1","c"
3,"D5","hsa-miR-130b",0.910228506,"c1","c"
3,"C5","hsa-miR-130b*",0.954829089,"c1","c"
3,"F5","hsa-miR-132",0.997147837,"c1","c"
3,"E5","hsa-miR-132*",0.876894019,"c1","c"
3,"G5","hsa-miR-1321",0.891333027,"c1","c"
3,"H5","hsa-miR-1322",0.835038658,"c1","c"
3,"A6","hsa-miR-1323",1.025883314,"c1","c"
3,"B6","hsa-miR-1324",0.92505974,"c1","c"
3,"D6","hsa-miR-133a",0.958643747,"c1","c"
3,"C6","hsa-miR-133a",0.778066929,"c1","c"
3,"E6","hsa-miR-133b",0.928589263,"c1","c"
3,"F6","hsa-miR-134",0.988840936,"c1","c"
3,"G6","hsa-miR-135a",1.000534772,"c1","c"
3,"A7","hsa-miR-135a",1.060857823,"c1","c"
3,"H6","hsa-miR-135a*",0.841135159,"c1","c"
3,"B7","hsa-miR-135b",1.043388342,"c1","c"
3,"C7","hsa-miR-135b*",1.051231748,"c1","c"
3,"D7","hsa-miR-136",0.963563721,"c1","c"
3,"E7","hsa-miR-136*",1.156404803,"c1","c"
3,"F7","hsa-miR-137",1.164676041,"c1","c"
3,"G7","hsa-miR-138",1.095939214,"c1","c"
3,"A8","hsa-miR-138",1.172127379,"c1","c"
3,"H7","hsa-miR-138-1*",1.034118888,"c1","c"
3,"B8","hsa-miR-138-2*",1.00524088,"c1","c"
