playe #,well,name,c1,c2,c3,avg,v4,v5,v6,avg,Ratio,z-score vcr
1,E9,hsa-miR-1203,1.013151787,1.059483588,1.039339247,1.037324874,0.570966972,0.796410002,0.588931088,0.652102687,0.628638823,0.9144945
1,F9,hsa-miR-1204,0.986091828,0.926692457,1.036088892,0.982957725,0.573455031,0.799887478,0.55792177,0.64375476,0.654916018,0.828491439
1,G9,hsa-miR-1205,1.168872661,1.032364306,1.038803098,1.080013355,0.56990063,0.876864599,0.572798601,0.673187943,0.623314462,1.080597462
1,H9,hsa-miR-1206,1.12916507,1.290099667,1.011359502,1.143541413,0.596429451,0.627161484,0.583171445,0.602254127,0.526657032,0.50924993
1,B10,hsa-miR-1207-3p,1.032018129,1.15324249,1.088362406,1.091207675,0.588512783,0.736144937,0.571488351,0.63204869,0.579219433,0.746810922
1,A10,hsa-miR-1207-5p,1.022101789,1.098394052,1.195054121,1.105183321,0.638662252,0.807483889,0.618793927,0.688313356,0.622804691,1.270624795
1,C10,hsa-miR-1208,1.042228673,0.981744278,1.12461886,1.049530604,0.595621642,0.753667368,0.629521609,0.65960354,0.628474803,1.013732302
1,D10,hsa-miR-122*,0.830413047,0.928562747,1.1028047,0.953926831,0.572873437,0.744078988,0.604026274,0.640326233,0.671252985,0.825916472
1,F10,hsa-miR-1224-3p,0.981343738,0.955641383,1.069061422,1.002015515,0.583148909,0.751000213,0.601460368,0.645203163,0.643905363,0.870748996
1,E10,hsa-miR-1224-5p,0.778898268,0.919902415,1.034446982,0.911082555,0.523402516,0.764066076,0.550906472,0.612791688,0.672597323,0.538832158
1,H10,hsa-miR-1225-3p,1.020042833,1.25948366,0.995409276,1.091645257,0.578689739,0.70977688,0.630094846,0.639520488,0.585831784,0.83726788
1,G10,hsa-miR-1225-5p,0.77646118,1.073592236,0.982475012,0.944176143,0.538524946,0.966299965,0.587457066,0.697427326,0.738662305,1.27405218
1,B11,hsa-miR-1226,1.169460939,1.029152282,1.021847732,1.073486984,0.578689739,0.699749605,0.573126182,0.617188509,0.574938046,0.618409843
1,A11,hsa-miR-1226*,1.069792908,1.143687727,1.139128094,1.117536243,0.618337528,0.765652885,0.620104172,0.668031528,0.59777169,1.09106992
1,C11,hsa-miR-1227,1.231480327,1.023134826,1.05864023,1.104418461,0.550868412,0.69559689,0.574381843,0.606949049,0.549564382,0.518507351
1,E11,hsa-miR-1228,1.156771343,0.971782923,1.238883471,1.122479245,0.52495355,0.671659696,0.552162133,0.582925126,0.519319291,0.291234848
1,D11,hsa-miR-1228*,1.118996556,1.03781255,0.972288326,1.043032477,0.562888768,0.670174136,0.553335906,0.59546627,0.570899069,0.417252039
