Name,x,y,z,Color
hsa-miR-578,0.905965158,0.876989157,0.673138941,black
hsa-miR-455-3p,0.906318975,1.016144261,0.933690853,black
hsa-miR-377*,0.906679604,1.028281886,0.861597779,black
hsa-miR-613,0.907331219,0.973879964,0.7463827,black
hsa-let-7a*,0.907376882,0.771676707,0.649949967,black
hsa-miR-151-3p,0.907381427,0.844852923,0.747243823,black
hsa-let-7a,0.907546145,0.940073571,0.791635701,black
hsa-miR-106b,0.90794439,1.054336832,0.887467328,black
hsa-miR-1302,0.908786176,1.074354295,0.749224985,black
hsa-miR-1252,0.908804005,0.977727315,0.670901681,black
hsa-miR-1225-5p,0.909713966,1.162710017,0.976784584,black
hsa-miR-329,0.909952225,0.966148339,0.806624579,black
hsa-miR-1302,0.909970505,1.092843669,0.761127063,black
hsa-miR-411*,0.910091877,0.937106385,0.782257778,black
hsa-miR-542-5p,0.910301789,0.861029508,0.758655345,black
hsa-miR-34a,0.910873406,1.063512039,0.887014296,black
hsa-miR-597,0.910887215,0.847637188,0.647094015,black
hsa-miR-451,0.911012844,1.034055883,0.945253552,black
hsa-miR-373,0.911122505,1.113182802,0.928187993,black
hsa-miR-548c-3p,0.911474586,0.91256183,0.803026021,black
hsa-miR-604,0.911650799,0.954954148,0.728410152,black
hsa-miR-375,0.91178614,0.862735376,0.71883771,black
hsa-miR-574-5p,0.912151981,0.847243938,0.744994639,black
hsa-miR-573,0.912209243,0.75277396,0.661884182,black
hsa-miR-133a,0.912301768,1.015952336,0.705766851,black
hsa-miR-593,0.912697353,1.077233848,0.820739221,black
hsa-miR-191*,0.912777096,0.98354188,0.864767245,black
hsa-miR-105,0.913011533,0.916395737,0.767077142,black
hsa-miR-486-3p,0.913284703,1.035439709,0.944164009,black
hsa-miR-384,0.913809303,1.050356648,0.873227582,black
hsa-miR-450a,0.914351749,0.967819429,0.881474686,black
hsa-miR-550a*,0.914429982,1.00415512,0.880769431,black
hsa-miR-572,0.914455576,0.738468477,0.647710939,black
hsa-miR-511,0.91451491,1.112370486,1.012948756,black
hsa-miR-571,0.914561177,0.81620824,0.715813849,black
hsa-miR-497,0.914840143,1.076871778,0.980274242,black
hsa-miR-367*,0.915036236,1.099280989,0.912676054,black
hsa-miR-499-5p,0.915916715,1.076794632,0.979051879,black
hsa-miR-1539,0.916006795,0.88420841,0.774688401,black
hsa-miR-633,0.916472989,0.93083967,0.706280476,black
hsa-miR-105*,0.916661573,0.953311949,0.794800727,black
hsa-miR-770-5p,0.916948815,1.003708719,0.93905069,black
hsa-miR-376b,0.917006035,1.061196395,0.879163812,black
hsa-miR-548b-5p,0.917517285,0.896440642,0.783644638,black
hsa-miR-450b-3p,0.917733419,0.977440619,0.886957162,black
hsa-miR-7,0.918035766,0.862813842,0.806276376,black
hsa-miR-195,0.918693321,0.911818562,0.796542546,black
hsa-miR-145,0.919225339,1.187970926,0.819049716,black
hsa-miR-154*,0.919240817,0.792299367,0.691721249,black
hsa-miR-376a,0.920171029,1.069567358,0.88305106,black
hsa-miR-626,0.920804283,0.903299256,0.682160093,black
hsa-miR-33a,0.921871298,0.894218673,0.736918861,black
hsa-miR-1321,0.922921273,1.09363844,0.750992413,black
hsa-miR-192*,0.922976192,0.880713187,0.765799553,black
hsa-miR-607,0.923256749,0.921215868,0.693842513,black
hsa-miR-548f,0.924147144,1.028920022,0.893001885,black
hsa-miR-1185,0.924305445,1.006537335,0.832236237,black
hsa-miR-548d-3p,0.924434302,0.923226128,0.80102103,black
hsa-miR-490-3p,0.924567149,1.074324414,0.967666699,black
hsa-miR-1281,0.924884181,1.132833018,0.76381804,black
hsa-miR-663b,0.924989066,0.952388977,0.883291791,black
hsa-miR-630,0.925332615,0.953230174,0.716344447,black
hsa-miR-367,0.925511614,1.073691432,0.88134074,black
hsa-miR-632,0.925583883,1.127856634,0.84734467,black
hsa-miR-411,0.925950796,0.940899689,0.771972176,black
hsa-miR-564,0.926173517,0.871498443,0.754720488,black
hsa-miR-376a*,0.927763113,1.061745089,0.869419529,black
hsa-miR-625,0.928070535,0.958401162,0.718105635,black
hsa-miR-548h,0.928123876,0.851178841,0.735574656,black
hsa-miR-181b,0.928539819,0.798503024,0.690155798,black
hsa-miR-181a*,0.928776363,0.859195883,0.742424236,black
hsa-miR-548h,0.928781599,0.973316514,0.840528362,black
hsa-miR-103a,0.928911152,0.984147006,0.809688635,black
hsa-miR-550a*,0.93004542,0.899252538,0.775513562,black
hsa-miR-664*,0.930513512,0.813303434,0.749818852,black
