,,,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6
2,E2,hsa-miR-1237,1.019091039,0.95689103,0.985907257,1.037167411,0.948910811,1.233419273
2,F2,hsa-miR-1238,1.003923806,0.930241876,0.977142067,1.083495578,0.991192786,1.221428665
2,B3,hsa-miR-124,0.948463102,0.783944839,1.018133245,1.074253834,0.950076829,1.215774982
2,H2,hsa-miR-124,0.903348415,0.92196638,0.959872262,1.029893233,0.879505533,1.149174242
2,E3,hsa-miR-124,0.934421947,1.142924799,0.939507008,1.069304917,0.70115066,1.271627721
2,D3,hsa-miR-124*,0.96634004,1.090282682,0.955636278,1.132327969,0.926806587,1.21167463
2,A3,hsa-miR-124*,1.043337557,0.73797412,0.986330867,1.082124185,0.944195952,1.332823392
2,G2,hsa-miR-124*,1.033800824,0.899035712,0.989980307,0.975396428,0.908960964,1.127118977
2,C3,hsa-miR-1243,1.046856553,1.024516419,0.98734102,1.135547689,0.988809961,1.136189541
2,F3,hsa-miR-1244,0.948498267,1.057217282,0.923931635,1.109134126,0.863941332,1.155635487
2,G3,hsa-miR-1245,0.888110802,1.16567326,0.964825177,1.060480493,0.987086283,1.164830372
2,H3,hsa-miR-1246,1.089930165,1.094219936,1.007250118,1.003956604,0.946223849,0.995594833
2,A4,hsa-miR-1247,1.030915194,0.922659075,0.738461076,1.062767623,0.926705173,1.345248944
2,B4,hsa-miR-1248,0.991431007,0.91081092,0.782189386,1.060361265,0.875703168,1.092141107
2,C4,hsa-miR-1249,0.989178849,0.995424718,0.819856993,1.14156981,0.905057196,1.311575803
2,D4,hsa-miR-1250,0.874034489,1.145112142,0.771860098,0.90760341,0.747184211,0.965711395
2,E4,hsa-miR-1251,0.962785669,1.128306063,0.781048898,1.094645372,0.918137252,1.385010622
2,F4,hsa-miR-1252,0.920697476,1.129582003,0.669186573,0.946001612,0.842749602,1.254418361
2,G4,hsa-miR-1253,0.976721328,1.068153975,0.75276562,1.047005425,0.740948407,1.273243048
2,H4,hsa-miR-1254,0.919325044,1.133956682,0.860848223,0.954050913,0.864144066,1.099037296
2,A5,hsa-miR-1255a,1.054739323,0.768378264,0.856807721,0.97681538,1.026985423,1.294242224
2,B5,hsa-miR-1255b,1.055337636,0.95823991,0.86922245,1.108418617,1.025920819,1.34189407
2,C5,hsa-miR-1255b,1.072123661,0.954448476,0.939344073,1.097447676,1.048684107,1.424958704
2,D5,hsa-miR-1256,0.944240199,0.745885013,0.83699641,1.094943465,0.932738253,1.348541733
2,E5,hsa-miR-1257,0.949342821,0.704835832,0.936541846,1.058095606,0.990330905,1.334065999
2,F5,hsa-miR-1258,1.050762773,1.082444728,0.910995654,1.158860868,1.094869768,1.241433761
2,H5,hsa-miR-125a-3p,0.992873882,1.104354557,0.810277183,1.050582864,1.011117002,1.192849943
2,G5,hsa-miR-125a-5p,1.04917914,0.749785772,0.855634686,1.057320482,1.017707732,1.307289035
2,A6,hsa-miR-125b,1.185508415,0.933085403,0.945144102,1.156177791,1.027695194,1.427505914
2,C6,hsa-miR-125b,1.145179786,1.133956682,1.004545526,1.139781096,1.060496661,1.321764755
2,B6,hsa-miR-125b-1*,1.069061996,1.042088124,0.823897449,1.072763201,0.954132707,1.239818421
2,D6,hsa-miR-125b-2*,1.034997338,1.083356131,0.758989265,1.173588089,0.945260566,1.346864283
2,F6,hsa-miR-126,1.106892114,1.1165673,0.820834494,1.133341656,1.00057188,1.287843088
2,E6,hsa-miR-126*,1.041718759,1.143398777,0.87404488,1.010276721,1.006097923,1.369292282
2,G6,hsa-miR-1260,1.037495856,1.141976959,0.76749378,1.090352352,0.933650747,1.430488067
2,H6,hsa-miR-1261,0.974609824,1.216638347,0.984962297,1.043427914,0.990128089,1.313066823
2,A7,hsa-miR-1262,1.136065337,1.083392575,0.828426701,1.151228983,1.039862663,1.367863372
2,B7,hsa-miR-1263,1.165660837,1.097245676,0.820150268,1.086715299,1.030990523,1.295422633
2,C7,hsa-miR-1264,1.197262142,1.106469012,0.942765491,1.160828531,1.068659031,1.477456444
2,D7,hsa-miR-1265,1.069625032,1.134831641,0.881148284,1.125530821,1.015426321,1.388241289
2,E7,hsa-miR-1266,0.875266162,0.869470091,0.627511058,0.442174929,0.516052958,1.187134252
2,F7,hsa-miR-1267,1.163584603,1.136873207,0.974795996,1.149022853,1.097962352,1.374200398
2,G7,hsa-miR-1268,1.053754003,1.247078987,0.821453637,1.058512926,1.079204153,1.383271076
2,H7,hsa-miR-1269,0.983794597,1.195566923,1.033219815,1.079321881,1.069267398,1.273491574
2,B8,hsa-miR-127-3p,1.17495121,0.964109229,0.679646143,1.06858942,1.066276207,1.511688747
2,A8,hsa-miR-127-5p,1.140217804,1.13497741,0.814969324,1.194754847,1.036415235,1.291260071
